profile_id,year,month,inflow,outflow,net,has_irrigation,month_sin,month_cos,is_kharif,is_rabi,is_zaid
0,2023,1,22590.140135093985,13794.066641430229,8796.073493663756,0,0.49999999999999994,0.8660254037844387,0,1,0
0,2023,2,21173.924509642497,14041.44732945929,7132.477180183207,0,0.8660254037844386,0.5000000000000001,0,1,0
0,2023,3,43203.84106584074,13895.960699599758,29307.880366240977,0,1.0,6.123233995736766e-17,0,1,0
0,2023,4,41429.63380612098,12999.665050487489,28429.968755633494,0,0.8660254037844387,-0.4999999999999998,0,0,1
0,2023,5,31283.923247712384,18876.62340508276,12407.299842629625,0,0.49999999999999994,-0.8660254037844387,0,0,1
0,2023,6,18497.480285534217,19790.20536394676,-1292.7250784125426,0,1.2246467991473532e-16,-1.0,1,0,0
0,2023,7,13586.050528490081,20235.25987125532,-6649.209342765238,0,-0.4999999999999997,-0.8660254037844388,1,0,0
0,2023,8,15239.673728202793,20439.67781677168,-5200.004088568887,0,-0.8660254037844385,-0.5000000000000004,1,0,0
0,2023,9,25247.149266751163,22804.115673976285,2443.0335927748783,0,-1.0,-1.8369701987210297e-16,1,0,0
0,2023,10,41401.5532205047,16425.82935078488,24975.72386971982,0,-0.8660254037844386,0.5000000000000001,1,0,0
0,2023,11,53312.214622709784,14087.469266556316,39224.745356153464,0,-0.5000000000000004,0.8660254037844384,0,1,0
0,2023,12,29500.334898244186,14912.632954037495,14587.70194420669,0,-2.4492935982947064e-16,1.0,0,1,0
0,2024,1,17627.65787265233,13974.553997487137,3653.103875165192,0,0.49999999999999994,0.8660254037844387,0,1,0
0,2024,2,19269.78520777147,13997.73732293414,5272.047884837331,0,0.8660254037844386,0.5000000000000001,0,1,0
0,2024,3,45762.4387952674,14489.592270674677,31272.846524592722,0,1.0,6.123233995736766e-17,0,1,0
0,2024,4,40215.88167736555,13263.239550251641,26952.642127113908,0,0.8660254037844387,-0.4999999999999998,0,0,1
0,2024,5,24086.192087813855,16990.586380293935,7095.6057075199205,0,0.49999999999999994,-0.8660254037844387,0,0,1
0,2024,6,16426.97789323768,18923.461193413215,-2496.483300175536,0,1.2246467991473532e-16,-1.0,1,0,0
0,2024,7,15986.374047835725,19765.135280524377,-3778.761232688652,0,-0.4999999999999997,-0.8660254037844388,1,0,0
0,2024,8,20243.60895086514,19951.03261004707,292.5763408180683,0,-0.8660254037844385,-0.5000000000000004,1,0,0
0,2024,9,22476.391966878953,23125.79692950039,-649.4049626214364,0,-1.0,-1.8369701987210297e-16,1,0,0
0,2024,10,48483.01890176176,14674.706125546012,33808.312776215746,0,-0.8660254037844386,0.5000000000000001,1,0,0
